Title,Author,Publisher,Pub Date,Price,eb_price
국내외 핀테크 산업분석보고서(2023) (개정판),"비피기술거래, 비피제이기술거래",비티타임즈,2023-03-13,59400,45000
4차 산업혁명과 글로벌 핀테크 for 창업,김영국,박영사,2018-12-30,28420,18270
전자금융과 핀테크의 이해(2016) (금융사고와 범죄 방지 및 소비자보호를 중심으로),"이충열, 정군오",kif,2016-06-21,0,0
김변이 알려주는 핀테크의 비밀 (2021) (알아야 돈이 보인다),김도형,삼일인포마인,2021-03-02,14400,0
"핀테크 혁신, 미래 산업과 금융의 판을 바꾸다 (한국 핀테크 산업의 현주소와 차기 정부의 과제)",이석근,북랩,2017-03-23,13320,6660
국내외 핀테크 산업분석보고서(2020),"비피기술거래, 비피제이기술거래",비티타임즈,2020-01-06,54000,0
"금융혁신, 핀테크 그리고 금융의 미래(2019) (캐나다 국민연금 시스템의 성공과 CPPIB)",세계경제연구원 편집부,세계경제연구원,2019-04-19,13500,0
"핀테크 3.0: 핀테크 혁명과 금융의 미래 (핀테크 혁명과 금융의 미래, 5판)",김종현,한국금융연수원,2019-08-09,0,0
핀테크와 GDPR 1: 핀테크를 위한 개인정보 보호 (핀테크 서비스와 비즈니스를 위해 알아야 할 모든 것),이재영,타커스,2020-02-07,17100,11970
국내외 핀테크 산업분석보고서(2021),"비피기술거래, 비피제이기술거래",비티타임즈,2021-01-25,57000,0
활성화되는 핀테크 기술시장 동향과 전망,KIB 케이아이비,KIB케이아이비,2019-04-12,342000,0
핀테크 산업 활성화의 열쇠 비트코인이란 무엇인가? (화폐혁명의 구조와 설계도 분석),김승표,앤써북,2015-09-15,10800,0
핀테크와 GDPR 2: 개인 데이터 주권을 위한 접근법 (핀테크 서비스와 비즈니스를 위해 알아야 할 모든 것),이재영,타커스,2020-02-07,17100,11970
special job? 나는 핀테크 전문가가 될 거야!,강지선,이상일,2021-02-28,11520,8070
서비스플랫폼(AI·핀테크 기반) 산업 현황과 블록체인·메타버스 기반 기술 개발 동향,TF 정보분석실,트렌드포커스,2024-05-27,378000,0
Live 과학 첨단과학 15 : 핀테크와 가상화폐 (새 교육 과정에 따른 학습 만화),최재훈,윤재홍,2018-07-16,10800,0
2022 핀테크 관련 기업 취업을 위해 꼭 알아야 할 용어와 이슈 (2022 개정판),비피기술거래,비피기술거래,2022-08-26,17550,0
FinTech(핀테크) 글로벌 혁신기술 및 동향분석,BIR 편집부,BIR,2016-03-25,342000,0
핀테크 산업관련 기술동향분석 및 시장전망과 기업종합분석,"비피기술거래, 비피제이기술거래",비티타임즈,2023-03-20,315000,252000
핀테크(FinTech)관련 산업 전망과 핵심기업 핫이슈,비피기술거래,비피기술거래,2019-07-10,17550,0
미래 보안 생체인식 발전현황과 금융기술 핀테크 산업동향,RIsearch센터,산업정책분석원,2019-05-30,288000,0
스마트 금융 시대를 선도하는 핀테크 관련 신사업전략 모색을 위한 종합 분석,IRS Global 편집부,아이알에스글로벌,2015-04-01,315000,0
핀테크 관련 최대수혜주의 핫 키워드와 이슈 모르면 주식 대박 힘들다,서울공대OB주식연구회,비피기술거래,2019-05-01,17550,0
블록체인 핀테크 기술 정책동향과 정보보호 분야별 산업 실태분석,지식산업정보원 R&D정보센터,지식산업정보원,2018-08-08,342000,0
핀테크 산업의 국내외 시장동향과 관련 서비스 현황 및 기술/활용사례 분석,좋은정보사,좋은정보사,2018-06-14,306000,0
핀테크(FinTech)산업 동향전망과 정보보호산업 기술현황 실태분석,지식산업정보원 R&D정보센터,지식산업정보원,2015-03-25,288000,0
"신남방 지역 주요국의 핀테크 발전과 협력방안: 인도, 태국, 말레이시아, 베트남, 인도네시아를 중심으로","이충열, 이종하 외 1명",대외경제정책연구원,2020-12-31,9500,0
IoT기반 근거리 무선통신/핀테크 산업 현황과 무선전력전송 및 무선충전 기술개발 동향,TF정보분석실,트렌드포커스,2015-07-09,279000,0
핀테크 / 블록체인 기술이 적용된 온라인 시스템 전자결제 / 보안 / 인증 시장 전망과 핵심기술 동향,TF정보분석실,트렌드포커스,2019-04-29,342000,0
핀테크가 강한 나라,강형구,한울아카데미,2024-04-08,342000,0
"핀테크에반젤리스트 (디지털 금융, 핀테크 스타트업, 금융 혁신, 핀테크 생태계, 디지털 자산, 핀테크 기술, 핀테크 투자, 핀테크 리더, 핀테크 생태계, 핀테크 혁신)",씨익북스 편집부,씨익북스,2024-05-11,342000,0
내일의 핀테크,None,None,None,342000,0
"핀테크시스템엔지니어 (핀테크, 시스템, 엔지니어, 금융, 기술, 디지털, 보안, 데이터, 인공지능, 블록체인)",씨익북스 편집부,씨익북스,2024-05-11,342000,0
