,title,originallink,link,description,pubDate
8,“음식 배달하다가 페이커 만났습니다... 페이커가 먹은 음식도 공개합니다”...,https://www.wikitree.co.kr/articles/955523,https://www.wikitree.co.kr/articles/955523,닉네임이 '05년생꿈나무'인 글쓴이는 “신사역 쪽에서 갑자기 T1 선수들 지나가기에 잘못 봤나 싶었는데 마지막에 ‘<b>대상혁</b>’이 지나가서 알아봤다. 외쳐 <b>대상혁</b>!”이란 글과 함께 페이커와 함께 찍은 사진을 공개했다.... ,"Thu, 30 May 2024 09:36:00 +0900"
9,'전설의 전당 헌액' 페이커‥&quot;오늘도 숭배할게요&quot;,https://imnews.imbc.com/replay/2024/nwdesk/article/6603031_36515.html,https://m.sports.naver.com/esports/article/214/0001351705,"&quot;<b>대상혁</b>!&quot; &quot;페이커! What was that!&quot; 정말 어마어마한 인기인데, e스포츠 팬들에게 페이커는 정말 신적인 존재인 것 같네요. 주인공 페이커는 일정상 현장에 오지 못했지만 다음 달 6일 기자회견을 가질 예정입니다. 영상취재... ","Wed, 29 May 2024 20:42:00 +0900"
0,[포토] 숭배하라! 페이커 신전을 찾았습니다,https://www.gamemeca.com/mv.php?inflow=naver_s&gid=1749377,https://m.sports.naver.com/esports/article/356/0000067031,▲ 서울시 중구 하이커 그라운드에서 열린 '페이커 신전' (사진: 게임메카 촬영) ▲ 입구에서부터 '<b>대상혁</b>'을... 촬영) ▲ <b>대상혁</b>을 마주쳤다 (사진: 게임메카 촬영) ▲ 숭배를...해야만 해! (사진: 게임메카 촬영) ▲ 숭배가... ,"Wed, 29 May 2024 18:43:00 +0900"
1,[르포] &quot;<b>대상혁</b> 화이팅!&quot;…숭배객으로 인산인해 '페이커 신전' 가보니,http://www.inews24.com/view/1724945,https://n.news.naver.com/mnews/article/031/0000840474?sid=105,"참관객들은 '기습숭배존'에서 &quot;<b>대상혁</b> 파이팅!&quot;을 외치고, '페이커'에 대해 얼마나 알고 있는지 테스트 할 수 있는 '페이커 고사(펜 테스트)' 등을 체험하면서 스탬프를 받을 수 있다. '기습숭배존'에서 목놓아 '페이커'를... ","Wed, 29 May 2024 16:56:00 +0900"
2,[르포] 숭배 콘셉트 포토존… e스포츠의 `신`이 된 프로게이머,https://www.dt.co.kr/contents.html?article_no=2024052902109931065005&ref=naver,https://n.news.naver.com/mnews/article/029/0002876824?sid=105,"서울 '페이커 신전' 이상혁선수 전설의전당 이벤트 라이엇게임즈, 명장면·밈 전시 &quot;<b>대상혁</b> 화이팅&quot;, &quot;페이커... 안으로 들어갈수록 입구에서 들렸던 팬들의 함성이 또렷해졌고 &quot;<b>대상혁</b>&quot;이라는 외침이 끊임없이 들렸다.... ","Wed, 29 May 2024 16:20:00 +0900"
3,페이커 신전 &quot;직접 가서 <b>대상혁</b> 숭배하고 왔습니다&quot;,https://www.gametoc.co.kr/news/articleView.html?idxno=81672,https://www.gametoc.co.kr/news/articleView.html?idxno=81672,포즈인 '쉿'- '<b>대상혁</b>'을 외쳐야하는 기습 숭배 존 - 페이커와 T1의 히스토리를 한눈에 볼 수 있는 부스- 독서광 페이커의 추천 도서- 선행마저 GOAT인 <b>대상혁</b>- 페이커 전설의 전당 헌액을 축하하는 광고- 불멸의 전설 아리... ,"Wed, 29 May 2024 15:28:00 +0900"
4,[풍경기] 페이커 카페... 아니 '페이커 신전' 오픈런 하고 왔습니다.,https://www.thisisgame.com/webzine/news/nboard/4/?n=189484,https://m.sports.naver.com/esports/article/439/0000028715,기사를 작성하는 지금도 &quot;<b>대상혁</b>&quot;이라는 구호가 울려퍼지고 있습니다. 상습숭배 존 &quot;<b>대상혁</b>&quot;을 외치며 숭배할 수 있는 기습숭배 존도 있습니다. 기습숭배 존의 모습 사진으로 추억을 남길 수 있는 공간도 있습니다.... ,"Wed, 29 May 2024 14:26:00 +0900"
5,매년 돈 안 쓰고도 '벤츠·BMW' 차 한 대씩 늘어나고 있는 '영앤리치' 페이커,https://www.insight.co.kr/news/469502,https://www.insight.co.kr/news/469502,"이처럼 페이커는 2020년부터 매년 돈을 안 들이고도 수억 원 대의 고급 외제차를 끌어모으고 있다.이를 본 누리꾼들은 &quot;내가 오너라도 상혁이한테 주고 싶다&quot;, &quot;<b>대상혁</b> 그는 대체&quot;, &quot;벤츠는 주고 싶어서 안달난 것... ","Fri, 24 May 2024 16:36:00 +0900"
6,"&quot;또 <b>대상혁</b>이야&quot;... 페이커, 'LoL' 최초 전설의 전당으로",https://www.gameple.co.kr/news/articleView.html?idxno=209566,https://www.gameple.co.kr/news/articleView.html?idxno=209566,"'페이커' 이상혁, '리그 오브 레전드(LoL)' e스포츠 역사상 가장 위대한 선수가 LoL 이스포츠 '전설의 전당'의 초대 헌액자로 선정됐다. '페이커'는 2013년 3월 데뷔 이후 11년간 'LoL' 월드 챔피언십(롤드컵) 4회 우승, 미드... ","Thu, 23 May 2024 13:58:00 +0900"
7,이번에도 자본주의에 굴복해(?) 깐머리로 치킨 먹방하는 '<b>대상혁</b>' 페이커 (영...,https://www.insight.co.kr/news/469302,https://www.insight.co.kr/news/469302,평소 '덮은 머리' 헤어스타일을 고집하는 리그 오브 레전드(LoL) 프로게임단 SK텔레콤 T1의 주장 페이커.그가 유일하게(?) 이마를 드러내는 날이 있다. 바로 광고 촬영 때다.이에 팬들 사이은 페이커의 '깐머리'를 '자본주의... ,"Wed, 22 May 2024 11:38:00 +0900"
8,"'기부천사 <b>대상혁</b>'... 유니세프 '페이커 패키지', 누적 후원금 1억 원 돌파",https://www.xportsnews.com/article/1853209,https://m.sports.naver.com/esports/article/311/0001720504,T1 미드 라이너 '페이커' 이상혁이 참가한 유니세프의 생명을 구하는 선물 '페이커 패키지' 캠페인이 하루 만에 누적 후원금 1억 원을 돌파했다. 29일 유니세프는 이상혁이 참여한 '페이커 패키지' 캠페인이 전개 하루 만에... ,"Mon, 29 Apr 2024 13:35:00 +0900"
9,'<b>대상혁</b>' 페이커가 가난해 공부 못하고 밥 못 챙겨먹는 아이들 위해 나서자 하...,https://www.insight.co.kr/news/467491,https://www.insight.co.kr/news/467491,&quot;분쟁과 재난 등으로 제대로 된 교육과 영양을 누리지 못하는 어린들이 전 세계에 굉장히 많다는 소식을 듣고 마음이 아팠다. 어린이들이 마음껏 배우고 건강하게 성장하는 데 조금이라도 도움이 될 수 있다면 좋겠다... ,"Fri, 26 Apr 2024 14:48:00 +0900"
0,사우디 e스포츠월드컵 홍보 영상서 '간판 선수'로 피날레 장식한 '<b>대상혁</b>' 페...,https://www.insight.co.kr/news/467398,https://www.insight.co.kr/news/467398,"하루 광고비만 무려 6억 원에 달하는 것으로 알려진 미국 라스베이거스 스피어돔에 페이커(본명 이상혁)가 등장해 눈길을 끌었다.지난 22일 T1 SNS 공식 계정에는 &quot;짜잔, 나 Sphere 나왔어&quot;라는 글과 함께 영상이 올라왔다.... ","Thu, 25 Apr 2024 17:26:00 +0900"
1,"또 <b>대상혁</b>이야... '페이커' 이상혁, 아동을 위한 후원 패키지 직접 꾸렸다",https://www.wikitree.co.kr/articles/945860,https://www.wikitree.co.kr/articles/945860,유니세프와 프로게이머 '페이커'가 '페이커 패키지' 캠페인을 진행한다. 24일 유니세프 한국위원회(회장 정갑영)는 '리그 오브 레전드' E 스포츠 팀인 T1 소속의 프로게이머 '페이커' 이상혁 선수가 유니세프 생명을 구하는... ,"Wed, 24 Apr 2024 10:50:00 +0900"
